Gene,Module
MIR6087,magenta
HBB,magenta
HBA2,magenta
USP32P1,grey
HBA1,magenta
MAP1B,magenta
LOC101927580,grey
HBG2,magenta
MYOM2,grey
RNF182,grey
MIR663AHG,magenta
MIR663A,magenta
HBG1,magenta
CTXN2,grey
ADARB2,turquoise
HYDIN,turquoise
SLC12A1,grey
B4GALNT3,grey
RAP1GAP,brown
TMEM176B,grey
GAD1,turquoise
PRTG,turquoise
MUC3A,turquoise
DDX11L10,red
C1orf105,grey
HMCN2,turquoise
HLA-DRB6,grey
LOC284581,grey
SLC2A14,grey
EDIL3,grey
MUC19,turquoise
TUBB2A,grey
LINC01291,turquoise
RNF17,grey
TMEM176A,grey
HLA-DQA2,grey
IGFN1,turquoise
LRP2,turquoise
CCDC144A,grey
KSR2,turquoise
MUC16,turquoise
CYP4F29P,grey
CSMD2,turquoise
LOC100506159,grey
PKHD1,turquoise
BCAM,blue
UGT2B17,grey
OVCH1,grey
MUC2,turquoise
NPIPB5,blue
MUC4,turquoise
FRAS1,turquoise
ARFGEF3,turquoise
ZNF890P,grey
LAMA3,turquoise
KIAA1217,turquoise
PTPRD,turquoise
SVEP1,turquoise
ZAN,turquoise
COL12A1,turquoise
LINC00676,blue
PCLO,turquoise
PLXNB3,blue
CD177,green
EVPL,blue
STOX1,grey
S100B,grey
NOS1,turquoise
SLIT3,turquoise
CFAP46,turquoise
SLC6A19,blue
COL16A1,turquoise
TUBBP5,turquoise
IGFBP2,grey
TENM4,turquoise
BAHCC1,blue
MDGA1,grey
RUNX1T1,blue
FAT3,turquoise
AOC1,blue
MS4A2,salmon
ANKRD20A9P,turquoise
KCNN3,turquoise
COL5A1,blue
FAM83A,blue
KIAA1549,turquoise
SCO2,magenta
OVCH1-AS1,grey
L1CAM,blue
TMPRSS9,blue
ARHGAP23,blue
ANK2,turquoise
HDC,salmon
MMP8,salmon
HERC2P10,grey
RPL3L,grey
CPA3,salmon
SORBS2,turquoise
BEGAIN,blue
GRIN2C,blue
KRT72,blue
DSP,grey
VWA7,blue
SYT9,blue
SPEG,blue
CSMD1,turquoise
UNC13A,turquoise
SLC44A5,grey
MIR4523,magenta
KRT73,grey
CNTN4,greenyellow
SYNPO,blue
HSPG2,blue
LRP10,blue
OLFM4,salmon
NTRK2,turquoise
COL5A3,blue
THSD7A,salmon
LMOD1,blue
UGT2B28,greenyellow
ABO,blue
PRDM16,turquoise
RDH14,magenta
UNC80,turquoise
SMIM1,brown
MUC5AC,turquoise
PAPPA2,turquoise
ST6GAL2,turquoise
GRIK4,turquoise
VWCE,blue
SHISA7,blue
TSKS,turquoise
MEG3,turquoise
KLHL4,grey
PEAR1,blue
PTPRN,blue
SPTBN2,blue
RELN,turquoise
COL22A1,turquoise
ELFN2,turquoise
LOC441081,blue
FER1L4,blue
PTPRT,turquoise
CADM2,blue
CTTNBP2,turquoise
DNAH5,turquoise
OBSL1,blue
MAOA,grey
OTOG,turquoise
ATP1A4,turquoise
TJP1,turquoise
RNASE3,salmon
DSCAML1,turquoise
MUC5B,blue
IQGAP3,turquoise
PTPN3,turquoise
CLEC4F,grey
LGSN,turquoise
FAM227A,turquoise
ANKRD20A4,grey
PTPRU,turquoise
CLEC4C,grey
RPH3A,turquoise
UPK1B,turquoise
DAAM2,turquoise
STXBP5L,turquoise
COLCA1,blue
FAM186A,turquoise
PXDN,turquoise
CEP170B,blue
XKR3,grey
PRKD1,turquoise
LOC441666,grey
ROCK1P1,turquoise
LAMA1,turquoise
A1CF,turquoise
PHKA1,turquoise
COL27A1,blue
PRSS33,greenyellow
TMPRSS6,blue
ENPEP,turquoise
ZNF385B,turquoise
SSPO,blue
ITGA2B,red
S100P,green
KLHDC8A,blue
SPTBN4,blue
A2ML1,turquoise
CPA5,grey
SNORD116-18,grey
FREM1,turquoise
SHISA9,turquoise
LIFR,turquoise
NFASC,turquoise
KANK2,brown
LOC101928551,grey
HRK,grey
GIPC3,blue
NKX3-1,grey
MT1L,brown
SERINC2,blue
ERICH3,turquoise
LOC101243545,grey
MEIS2,turquoise
SLC44A4,blue
ZFR2,blue
ACHE,blue
ABCA12,turquoise
PI4KAP1,grey
DDX11,grey
DOCK6,blue
CRISP3,salmon
ADAMTSL1,turquoise
GREB1,turquoise
TDRD1,turquoise
CLEC12A,grey
NRXN3,blue
OSBPL6,turquoise
AKAP12,salmon
ACKR2,blue
CLCN1,turquoise
LOC100505530,grey
HBD,blue
ARPP21,turquoise
AK7,blue
HRASLS5,greenyellow
ADAMTS16,blue
GRID1,turquoise
AJAP1,greenyellow
RPSAP58,black
STXBP6,turquoise
COL15A1,turquoise
SEC14L3,blue
TEAD1,turquoise
ZFHX4,turquoise
DYNC1I1,turquoise
ST18,turquoise
KCNT1,blue
PTGER4P2-CDK2AP2P2,blue
LAMC3,blue
CHD5,blue
PLEKHN1,blue
C3orf20,blue
FOXP4,blue
COL4A2,turquoise
ABLIM3,red
FOSB,blue
CPB1,grey
C9orf172,blue
CMBL,blue
CEACAM22P,grey
OPRM1,turquoise
DRP2,turquoise
RPS16,cyan
CUX2,blue
ADGB,turquoise
ZMAT4,grey
ARHGEF17,blue
KIR2DL3,grey
ADAMTS2,turquoise
SNORA53,cyan
PTGES,grey
GRIN2A,turquoise
NRN1,turquoise
UGT2B11,greenyellow
WDR87,turquoise
SLC4A3,blue
PYGO1,blue
SFRP4,grey
ABCA4,turquoise
SSC5D,turquoise
PSMD5-AS1,grey
IGF1,turquoise
ROBO1,turquoise
WNK2,blue
OR2T8,brown
GPR173,blue
LINC00999,blue
CCDC80,turquoise
P3H2,turquoise
SCARNA10,cyan
DCHS2,turquoise
RASA4,blue
LPL,grey
IL1RL1,greenyellow
PPARGC1A,turquoise
SIGLEC1,blue
SPP1,green
SHANK1,turquoise
GTF2H2B,grey
CES1,grey
MYT1L,turquoise
BTNL3,grey
ILDR2,turquoise
ANKS1B,turquoise
MORC1,turquoise
NCS1,turquoise
SCN7A,turquoise
ADAM32,turquoise
SLITRK5,turquoise
LOC647859,grey
NPAS2,turquoise
KCP,blue
THNSL2,grey
SYN2,turquoise
TRIM67,turquoise
MYO3B,grey
HS3ST3A1,turquoise
NAV3,grey
CD7,blue
SCARNA5,cyan
MYL9,red
DNAH9,turquoise
COL11A2,blue
ORM1,green
CCDC114,blue
JCHAIN,midnightblue
LOC643201,turquoise
VWA5B1,blue
C4BPA,green
MPDZ,turquoise
ATP1B2,blue
MAGI1,turquoise
PAK4,blue
MYRFL,turquoise
LAMA5,blue
SEMA6C,blue
C1orf226,turquoise
SLC7A5,brown
TMEM158,brown
PDZD7,turquoise
SYCP2L,grey
RAB3B,turquoise
ESPN,blue
FGF13,turquoise
DUSP8,blue
LOC729737,blue
KIF18B,blue
VSIG10L,blue
CLRN1,green
KIR3DL1,grey
CPNE4,turquoise
CTNND2,turquoise
ABCA13,salmon
COLCA2,grey
MYOZ3,blue
CDHR5,blue
DLGAP2,turquoise
EGR1,blue
SEMA6B,blue
SHANK2,turquoise
OLFML2A,blue
KIF26A,blue
RPS6KA6,turquoise
LOC100996291,blue
SLC7A8,blue
LOC728989,grey
BMP2,turquoise
CACNG8,greenyellow
CRB2,blue
CD248,blue
MIR3945,grey
ARHGAP39,blue
HBQ1,magenta
LOC100288162,blue
VCAM1,grey
KRT1,brown
LINC01002,blue
GSG1L,turquoise
AKR1C2,turquoise
LTF,salmon
ADGRB3,turquoise
CRMP1,blue
PAX8,blue
ANKRD30B,turquoise
CFAP57,turquoise
CEACAM8,salmon
ADAM11,blue
GLDC,turquoise
SMG1P5,magenta
RHOXF1P1,greenyellow
EBF4,blue
PAK6,blue
ALOX15,greenyellow
LINC01061,blue
TREML5P,pink
ANTXR1,turquoise
MUC6,blue
GATA2,salmon
AK8,blue
TRIM40,grey
ALAS2,brown
ADAMTS3,turquoise
NPIPB15,turquoise
IQSEC3,blue
KIR2DL1,turquoise
AEBP1,blue
GCOM1,turquoise
TSPEAR-AS1,grey
DBH-AS1,blue
TMEM184A,blue
LOC101928841,blue
IL17REL,blue
ETV1,turquoise
GDAP1L1,blue
NRCAM,purple
RAPGEF4,turquoise
FAP,turquoise
EFR3B,turquoise
MARK1,turquoise
CDK15,grey
CTNNA3,turquoise
RORB,turquoise
KIAA1456,turquoise
SPDYC,blue
SP2,blue
GUCY2D,blue
ACKR1,brown
KISS1R,blue
B4GALNT4,turquoise
MYEOV,red
